Time Bucket (Europe/Budapest),Hauptverteiler_1 (kWatts),Hauptverteiler_2 (kWatts),Hauptverteiler_3 (kWatts),Garage 1 (kWatts),Garage 2 (kWatts),Garage 3 (kWatts),UV 1 (kWatts),UV 2 (kWatts),UV 3 (kWatts),Mikrowelle (71) (kWatts),Arbeitszimmer (17) (kWatts),Sina (23) (kWatts),Malte (22) (kWatts),Studio (20) (kWatts),Lüftung (31) (kWatts),Geschirrspüler (38) (kWatts),Heizung (32) (kWatts),Backofen (kWatts),Kühltruhe (kWatts)
07/08/2022 04:52:00,0.0406,0.0523,0.1172,0.0010,0.0025,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 04:53:00,0.0412,0.0550,0.1165,0.0008,0.0026,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 04:54:00,0.0410,0.0538,0.1165,0.0011,0.0029,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 04:55:00,0.0408,0.0516,0.1165,0.0013,0.0024,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 04:56:00,0.0402,0.0522,0.1164,0.0007,0.0026,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 04:57:00,0.0439,0.0578,0.1266,0.0013,0.0027,0.0096,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 04:58:00,0.0371,0.0512,0.1080,0.0010,0.0019,0.0083,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 04:59:00,0.0404,0.0574,0.1165,0.0011,0.0018,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:00:00,0.0410,0.0557,0.1167,0.0006,0.0031,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:01:00,0.0407,0.0555,0.1164,0.0009,0.0024,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:02:00,0.0407,0.0628,0.1170,0.0012,0.0028,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:03:00,0.0401,0.0588,0.1164,0.0009,0.0019,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:04:00,0.0405,0.0623,0.1161,0.0017,0.0026,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:05:00,0.0409,0.0606,0.1172,0.0012,0.0029,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:06:00,0.0405,0.0612,0.1176,0.0011,0.0025,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:07:00,0.0537,0.0634,0.1168,0.0010,0.0023,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:08:00,0.0546,0.0645,0.1167,0.0009,0.0024,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:09:00,0.0529,0.0620,0.1164,0.0003,0.0025,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:10:00,0.0405,0.0584,0.1167,0.0015,0.0025,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:11:00,0.0409,0.0604,0.1163,0.0013,0.0027,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:12:00,0.0408,0.0642,0.1162,0.0012,0.0030,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0001
07/08/2022 05:13:00,0.0787,0.0722,0.1174,0.0007,0.0030,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:14:00,0.1048,0.0712,0.1182,0.0008,0.0030,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:15:00,0.1008,0.0760,0.1179,0.0015,0.0030,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:16:00,0.1002,0.0784,0.1184,0.0011,0.0028,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:17:00,0.1388,0.1141,0.1179,0.0012,0.0019,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0398
07/08/2022 05:18:00,0.1611,2.0006,0.1203,0.0022,0.0026,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0546
07/08/2022 05:19:00,0.1613,2.0051,0.1193,0.0022,0.0025,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0549
07/08/2022 05:20:00,0.1615,2.0056,0.1197,0.0023,0.0030,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0551
07/08/2022 05:21:00,0.1619,2.0146,0.1191,0.0023,0.0025,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0561
07/08/2022 05:22:00,0.1617,2.0119,0.1193,0.0026,0.0031,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0564
07/08/2022 05:23:00,0.1609,2.0132,0.1193,0.0017,0.0025,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0560
07/08/2022 05:24:00,0.1604,2.0096,0.1196,0.0020,0.0028,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0551
07/08/2022 05:25:00,0.1592,2.0083,0.1187,0.0020,0.0028,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0547
07/08/2022 05:26:00,0.1476,2.0108,0.1197,0.0021,0.0024,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0423
07/08/2022 05:27:00,0.1045,2.0134,0.1194,0.0031,0.0024,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:28:00,0.1048,2.0110,0.1186,0.0027,0.0023,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:29:00,0.0662,2.0164,0.1188,0.0026,0.0026,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:30:00,0.0570,2.0164,0.1188,0.0029,0.0027,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:31:00,0.0568,2.0142,0.1185,0.0030,0.0027,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:32:00,0.0567,2.0111,0.1179,0.0024,0.0034,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:33:00,0.0567,2.0124,0.1178,0.0025,0.0033,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:34:00,0.0568,2.0171,0.1206,0.0022,0.0026,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:35:00,0.0567,2.0149,0.1195,0.0021,0.0026,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:36:00,0.0568,2.0120,0.1181,0.0030,0.0025,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:37:00,0.0568,2.0114,0.1192,0.0023,0.0025,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:38:00,0.0564,2.0067,0.1193,0.0021,0.0018,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:39:00,0.0567,2.0034,0.1195,0.0022,0.0024,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:40:00,0.0563,1.9967,0.1195,0.0022,0.0036,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:41:00,0.0478,0.9056,0.1175,0.0014,0.0020,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:42:00,0.0408,0.0786,0.1162,0.0014,0.0034,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:43:00,0.0406,0.0775,0.1177,0.0010,0.0026,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:44:00,0.0409,0.0776,0.1179,0.0009,0.0031,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:45:00,0.0407,0.0775,0.1178,0.0007,0.0021,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:46:00,0.0406,0.0777,0.1174,0.0009,0.0026,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:47:00,0.0410,0.0767,0.1171,0.0012,0.0032,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:48:00,0.0412,0.0772,0.1173,0.0009,0.0014,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:49:00,0.0405,0.0754,0.1170,0.0009,0.0024,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:50:00,0.0410,0.0759,0.1166,0.0015,0.0036,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0001,0.0000
07/08/2022 05:51:00,0.0407,0.0754,0.1168,0.0014,0.0028,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:52:00,0.0410,0.0762,0.1167,0.0010,0.0022,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:53:00,0.0405,0.0748,0.1165,0.0008,0.0018,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:54:00,0.0406,0.0775,0.1167,0.0011,0.0023,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 05:55:00,0.0934,0.0760,0.1169,0.0005,0.0029,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0708
07/08/2022 05:56:00,0.0764,0.0781,0.1164,0.0010,0.0024,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0547
07/08/2022 05:57:00,0.0766,0.0741,0.1175,0.0009,0.0026,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0550
07/08/2022 05:58:00,0.0778,0.0778,0.1162,0.0012,0.0026,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0558
07/08/2022 05:59:00,0.0785,0.0759,0.1172,0.0013,0.0019,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0563
07/08/2022 06:00:00,0.0861,0.0765,0.1164,0.0007,0.0031,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0565
07/08/2022 06:01:00,0.1689,0.0747,0.1164,0.0014,0.0025,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0560
07/08/2022 06:02:00,0.1558,0.0761,0.1165,0.0010,0.0015,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0555
07/08/2022 06:03:00,0.1546,0.0753,0.1167,0.0010,0.0028,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0546
07/08/2022 06:04:00,0.1216,0.0836,0.1257,0.0015,0.0022,0.0098,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0140
07/08/2022 06:05:00,0.0916,0.0678,0.1075,0.0011,0.0025,0.0084,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:06:00,0.0988,0.0759,0.1163,0.0009,0.0022,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:07:00,0.0991,0.0754,0.1164,0.0005,0.0019,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:08:00,0.0983,0.0781,0.1164,0.0014,0.0026,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:09:00,0.0980,0.0751,0.1166,0.0008,0.0022,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:10:00,0.0979,0.0772,0.1165,0.0009,0.0026,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:11:00,0.0975,0.0776,0.1167,0.0012,0.0026,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:12:00,0.0967,0.0793,0.1165,0.0005,0.0022,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:13:00,0.0969,0.0768,0.1166,0.0012,0.0022,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:14:00,0.0963,0.0793,0.1140,0.0004,0.0029,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0001,0.0000
07/08/2022 06:15:00,0.0961,0.0769,0.1142,0.0012,0.0021,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:16:00,0.0529,0.0812,0.1133,0.0010,0.0021,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:17:00,0.0399,0.0776,0.1131,0.0007,0.0022,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:18:00,0.0398,0.0792,0.1129,0.0009,0.0022,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:19:00,0.0403,0.0767,0.1122,0.0009,0.0024,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:20:00,0.0402,0.0788,0.1165,0.0012,0.0024,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:21:00,0.0397,0.0770,0.1169,0.0008,0.0025,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:22:00,0.0402,0.0775,0.1161,0.0011,0.0024,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:23:00,0.0402,0.0757,0.1164,0.0010,0.0020,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:24:00,0.0400,0.0785,0.1163,0.0009,0.0016,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:25:00,0.0403,0.0771,0.1150,0.0007,0.0026,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:26:00,0.0402,0.0775,0.1161,0.0010,0.0021,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:27:00,0.0405,0.0791,0.1162,0.0011,0.0025,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:28:00,0.0398,0.0774,0.1159,0.0009,0.0028,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:29:00,0.0398,0.0777,0.1160,0.0007,0.0019,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:30:00,0.0399,0.0778,0.1162,0.0005,0.0022,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:31:00,0.0397,0.0786,0.1163,0.0009,0.0018,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:32:00,0.0580,0.0776,0.1160,0.0014,0.0026,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0186
07/08/2022 06:33:00,0.0795,0.0801,0.1163,0.0008,0.0021,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0564
07/08/2022 06:34:00,0.0778,0.0779,0.1161,0.0010,0.0018,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0548
07/08/2022 06:35:00,0.0791,0.0803,0.1158,0.0011,0.0033,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0550
07/08/2022 06:36:00,0.0785,0.0789,0.1164,0.0006,0.0026,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0557
07/08/2022 06:37:00,0.0782,0.0789,0.1162,0.0006,0.0024,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0563
07/08/2022 06:38:00,0.0783,0.0777,0.1156,0.0009,0.0019,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0001,0.0561
07/08/2022 06:39:00,0.0778,0.0799,0.1159,0.0004,0.0026,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0558
07/08/2022 06:40:00,0.0776,0.0789,0.1165,0.0012,0.0026,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0552
07/08/2022 06:41:00,0.1046,0.0761,0.1168,0.0011,0.0019,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0548
07/08/2022 06:42:00,0.0424,0.0777,0.1159,0.0004,0.0019,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0046
07/08/2022 06:43:00,0.0397,0.0775,0.1178,0.0005,0.0025,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:44:00,0.0397,0.0786,0.1169,0.0009,0.0022,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:45:00,0.0396,0.0764,0.1172,0.0011,0.0022,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:46:00,0.0397,0.0781,0.1165,0.0007,0.0032,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:47:00,0.0403,0.0778,0.1171,0.0008,0.0023,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:48:00,0.0765,0.0786,0.1166,0.0007,0.0023,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:49:00,0.1052,0.0771,0.1167,0.0011,0.0022,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:50:00,0.1008,0.0795,0.1170,0.0004,0.0023,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:51:00,0.1002,0.0952,0.1157,0.0008,0.0022,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:52:00,0.1002,0.1251,0.1167,0.0007,0.0029,0.0084,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:53:00,0.0998,0.1886,0.1168,0.0008,0.0026,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:54:00,0.5046,0.2987,0.1170,0.0009,0.0032,0.0094,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:55:00,0.1684,0.1571,0.1173,0.0012,0.0023,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:56:00,0.0981,0.0689,0.1165,0.0010,0.0027,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:57:00,0.0984,0.0812,0.1170,0.0012,0.0027,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:58:00,0.0979,0.0857,0.1165,0.0007,0.0023,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 06:59:00,0.0977,0.0858,0.1159,0.0008,0.0022,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 07:00:00,0.0968,0.0843,0.1164,0.0004,0.0026,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 07:01:00,0.0971,0.0965,0.1160,0.0005,0.0019,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 07:02:00,0.0969,0.0802,0.1158,0.0012,0.0017,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 07:03:00,0.0967,0.1018,0.1158,0.0011,0.0022,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 07:04:00,0.0540,0.1419,0.1158,0.0008,0.0023,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 07:05:00,0.0416,0.2734,0.1163,0.0007,0.0018,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 07:06:00,0.0414,0.2581,0.1161,0.0010,0.0033,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 07:07:00,0.0429,0.0740,0.5874,0.0014,0.0028,0.0096,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 07:08:00,0.0362,0.0797,1.8037,0.0005,0.0024,0.0081,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 07:09:00,0.0401,0.1010,1.9373,0.0010,0.0019,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/08/2022 07:10:00,0.0759,0.1081,1.9263,0.0010,0.0020,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0438
07/08/2022 07:11:00,0.0781,0.1104,1.9328,0.0004,0.0029,0.0084,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0542
07/08/2022 07:12:00,0.0776,0.1094,1.9197,0.0008,0.0021,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0551
